,Year,Month,Danceability %,Energy %,Valence %
0,2019,1,0.6867348197879303,0.4859237200978312,0.6531362533143993
1,2019,2,0.6885880379483516,0.4825262640937421,0.6382412932461412
2,2019,3,0.6954288259172551,0.5176641276583015,0.6423486386627769
3,2019,4,0.693883623770731,0.5328612797486668,0.6458448396456002
4,2019,5,0.6698194850360345,0.5004562308087429,0.6469768831442182
5,2019,6,0.7052049693397737,0.5405649662484999,0.6605782329374882
6,2019,7,0.682582945991751,0.5049247230260796,0.6328280231808722
7,2019,8,0.6910067463862807,0.5108627896425083,0.6293893724618914
8,2019,9,0.6786345708495783,0.4666835958272224,0.5933226582295131
9,2019,10,0.6873700966933802,0.49394798272850615,0.6212273586381991
10,2019,11,0.6779858609079423,0.49763255350769026,0.6192497929189289
11,2019,12,0.6160693347472159,0.5356381309513206,0.5716144481264069
12,2020,1,0.694381515439479,0.5074726262565636,0.6116245500496904
13,2020,2,0.6793387646596424,0.4770396397315054,0.6203588480768828
14,2020,3,0.6789753039008494,0.4778464141928603,0.6198658961841856
15,2020,4,0.7029185210614016,0.5056813383010184,0.6291897104965949
16,2020,5,0.7008208352369817,0.5070490140163264,0.6284983550312955
17,2020,6,0.7084727278882301,0.5140800768618322,0.6392986859999541
18,2020,7,0.7108938428409058,0.5077357634041056,0.6373372608831398
19,2020,8,0.7149678325388589,0.5239591754654258,0.6334564782633743
20,2020,9,0.7115524245043539,0.5032125410157138,0.6460396018081466
21,2020,10,0.703265121304883,0.49446006622071254,0.6501428476371062
22,2020,11,0.6812425093045883,0.5166581945360388,0.6239076460106024
23,2020,12,0.6005075691382444,0.5650459409827533,0.5749748064438039
