,Unnamed: 0,Year,Month,Danceability %,Valence %,Energy %
0,0,2019,1,0.6891558459151373,0.4883343233809434,0.6423478389749124
1,1,2019,2,0.664414746111864,0.4726779604578045,0.6484447992648902
2,2,2019,3,0.6898504064178483,0.5054243744381232,0.6576328919365879
3,3,2019,4,0.6852296005278827,0.4938956370376748,0.6433030600334083
4,4,2019,5,0.6785116255250241,0.5004894238522566,0.6450263473730552
5,5,2019,6,0.7163203844278664,0.5630489222323115,0.6752323045189721
6,6,2019,7,0.7173080556580419,0.5588601184442352,0.6751828874716541
7,7,2019,8,0.7124311020557833,0.5456410815644293,0.6618088736574467
8,8,2019,9,0.7258272211108451,0.5086260539483408,0.6455719662731658
9,9,2019,10,0.706265314057302,0.4942947756024714,0.6374997409585843
10,10,2019,11,0.6866181658158735,0.5000246578226492,0.6603871673215013
11,11,2019,12,0.6599856464335249,0.5095436135059541,0.6339462465023188
12,12,2020,1,0.6815299117071066,0.48596307481661,0.6272914040329439
13,13,2020,2,0.6458051436638049,0.4867842270746544,0.6539066477012125
14,14,2020,3,0.6583811346698998,0.4792856429608037,0.6525551628837439
15,15,2020,4,0.6916286252961512,0.4899755240641315,0.645101634826973
16,16,2020,5,0.7075935275565239,0.5020653642883449,0.6555675896365099
17,17,2020,6,0.6982730567827623,0.5182579150989418,0.6781560805381446
18,18,2020,7,0.7187077626765633,0.5637152678613762,0.6975319868654098
19,19,2020,8,0.7112006867802999,0.5633025612715944,0.6910115988553169
20,20,2020,9,0.6793614507809118,0.5257419158477438,0.6850935005581978
21,21,2020,10,0.6735300510898952,0.5099864099293424,0.6845370550593737
22,22,2020,11,0.7047072201972572,0.4859300451447579,0.6511635362515659
23,23,2020,12,0.6710826490300288,0.4961719579838619,0.6360513758905156
